id,y_1999,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021
382,602281,632292,673742,620780,598157,703378,665319,706697
383,451977,544546,485176,534613,565283,598767,677904,682380
381,798131,906024,1036127,1170173,1266590,1315675,1278122,1340310
384,18907,22249,23098,25845,31904,32635,36026,40128
391,157733,161473,167914,180627,199315,225758,230533,219533
393,275946,268660,314973,291703,326194,348301,354415,374329
390,147609,145202,157467,155623,163831,170805,166399,146174
392,95732,91608,95496,114927,139878,150854,163509,187358
398,20669,21629,22413,20390,21590,23885,27341,27592
404,36244,37114,34840,39294,35608,36747,38039,43479
401,927791,1008541,1044931,1022222,1006950,1129493,1083127,1246806
399,459014,487314,587491,720058,684259,832154,952525,930369
402,154986,138402,125697,148489,138218,158738,150043,136615
400,65014,70948,77184,76309,81204,79991,71836,71303
403,139109,124232,135398,150474,136225,150743,144873,135893
373,77012,77574,73965,70209,73396,80808,91995,97636
371,125490,141194,130182,123704,118781,110590,128313,126462
372,399843,410901,412579,470878,490698,599470,658063,682891
374,609476,587095,583506,603857,574438,594036,744551,695785
375,197834,215858,210913,239162,229212,270460,260319,282888
389,201799,194442,198947,190228,200105,204354,236278,214173
387,37482,34534,36007,38566,42941,50888,45106,45385
386,87687,89404,89212,98623,100545,102583,96213,94350
388,109659,132395,134252,148725,149568,163560,155892,177712
385,163547,184729,188913,206581,186724,188335,183992,202544
394,798412,841877,875238,793649,798285,777601,729224,836000
395,159072,161004,179579,195293,197457,203806,198787,191862
396,194785,192935,205055,201493,210370,192555,207009,205363
397,168669,187449,208713,233882,273897,280949,283011,275362
410,183874,206603,229804,220567,244325,259408,294701,295555
406,416497,440555,444851,501568,516836,532518,458337,455277
407,121489,116848,133342,121444,126187,119710,130465,154070
405,361190,355855,408032,406007,465129,479720,533972,548298
408,332441,376134,385531,376000,419424,435438,498057,482624
409,837708,800276,888883,1093724,1122145,1312911,1330769,1573897
999,158090,192711,184914,204904,210136,207918,206164,184752
379,368755,396781,447233,481204,489170,439356,464059,490551
380,44519,45276,43905,49902,51103,60416,61834,67985
378,488717,513882,566545,556643,592273,617227,647984,583213
377,198733,181404,209066,212694,249184,239497,252713,241754
376,61986,68896,62132,63846,66411,61380,59218,61985
